PERMITTED_VALUE	LONG_NAME	DEFINITION
12	12	A natural number greater than 11 and less than 13 and the quantity that it denotes.: A specific point in the time continuum, including those established relative to an event.
12 hours post dose	12 hours post dose	12 hours post dose
12 months	12 Months	A natural number greater than 11 and less than 13 and the quantity that it denotes.: One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
12 months after RT	12 months after radiation therapy	12 months after radiation therapy
12 months after randomization	12 months after randomization	12 months after randomization
12 months after study entry	12 months after study entry	12 months after study entry
12 months after surgery	12 months after surgery	12 months after surgery
12 months from end of treatment	12 months from end of treatment	12 months from end of treatment
12 months from start of ARM 1 or ARM 2 therapy	12 months from start of ARM 1 or ARM 2 therapy	12 months from start of ARM 1 or ARM 2 therapy
12 months from start of treatment	12 months from start of treatment	12 months from start of treatment
12 months post randomization	12 Months Post Randomization	12 Months Post Randomization
12 months post-LITT	12 months post-LITT	12 months post Laser Interstitial Thermal Therapy
12 weeks	Week 12	A natural number greater than 11 and less than 13 and the quantity that it denotes.: Any period of seven consecutive days.
12 weeks after your first study visit	12 weeks after your first study visit	12 weeks after your first study visit
12-20 hr	12-20 hr	12-20 hr
12-Month Follow-up	12-Month Follow-up	12-Month Follow-up
12-month visit	Twelve Month Visit	A natural number greater than 11 and less than 13 and the quantity that it denotes.: One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.: The act of going to see some person or place or thing; it can cover a short or long period but refers to a non-permanent arrangement.
120 weeks	One Hundred Twenty Week	A natural number greater than 119 and less than 121 and the quantity that it denotes._Any period of seven consecutive days.
128 weeks	128 weeks	128 weeks
13 Week	13 Week	A natural number greater than 12 and less than 14 and the quantity that it denotes._Any period of seven consecutive days.
13 months	Thirteen Month	A natural number greater than 12 and less than 14 and the quantity that it denotes._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
13 weeks following randomization	13 weeks following randomization	13 weeks following randomization
13 weeks post randomization	13 weeks post randomization	13 weeks post randomization
13-20 hr	13-20 hr	13-20 hr
132 weeks	132 weeks	132 weeks
14 hours post dose	14 hours post dose	14 hours post dose
140 weeks	140 weeks	140 weeks
144 weeks	144 weeks	144 weeks
15 minutes	Fifteen Minute	A natural number greater than 14 and less than 16 and the quantity that it denotes.: A unit measure of time equal to 60 seconds.
15 months	15 Months Post Registration	15 Months Post Registration
15 months	15 months post therapeutic procedure	15 months post therapeutic procedure
152 weeks	152 weeks	152 weeks
156 weeks	156 weeks	156 weeks
16 +/- 2 weeks following initiation of treatment	16 +/- 2 weeks following initiation of treatment	16 +/- 2 weeks following initiation of treatment
16 hours post dose	16 hours post dose	16 hours post dose
16 months	Sixteen Month	A natural number greater than 15 and less than 17 and the quantity that it denotes.: One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
164 weeks	164 weeks	164 weeks
176 weeks	176 weeks	176 weeks
178 weeks	178 weeks	178 weeks
18 Months Post Randomization	18 Months Post Randomization	18 Months Post Randomization
18 hours post dose	18 hours post dose	18 hours post dose
18 months	18 MONTHS	A natural number greater than seventeen and less than nineteen and the quantity that it denotes._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
18 months after randomization	18 months after randomization	18 months after randomization
18 months after study entry	18 months after study entry	18 months after study entry
18 months after surgery	18 months after surgery	18 months after surgery
18 months following randomization	18 months following randomization	18 months following randomization
18 months from start of treatment	18 months from start of treatment	18 months from start of treatment
18 months post-LITT	18 months post-LITT	18 months post Laser Interstitial Thermal Therapy
18 weeks	18 weeks	A natural number greater than seventeen and less than nineteen and the quantity that it denotes._Any period of seven consecutive days.
18-Month Follow-up	18-Month Follow-up	18-Month Follow-up
188 weeks	188 weeks	188 weeks
19 months	Nineteen Month	A natural number greater than eighteen and less than twenty and the quantity that it denotes._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
190 weeks	190 weeks	190 weeks
1st Followup	1st Followup	1st Followup
2 8 weeks post RT	Two To Eight Weeks Post Radiation Therapy	A natural number greater than 1 and less than 3 and the quantity that it denotes: the sum of one and one.: Used as a function word to indicate direction, purpose, or movement.: A natural number greater than 7 and less than 9 and the quantity that it denotes: the sum of seven and one.: Any period of seven consecutive days.: Happening at a time subsequent to a reference time; later in time or order.: Treatment of a disease by means of exposure of the target or the whole body to radiation. Radiation therapy is often used as part of curative therapy and occasionally as a component of palliative treatment for cancer. Other uses include total body irradiation prior to transplantation.
2 Months After Starting Study Agent	Two Month Post Protocol Agent Begin	A natural number greater than 1 and less than 3 and the quantity that it denotes: the sum of one and one._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks._Happening at a time subsequent to a reference time; later in time or order._A medical product, practice, or application that is tested in a clinical trial._Have a beginning, in a temporal, spatial, or evaluative sense; the point in space or time where something begins.
2 Months After Visit 1	Two Month Post Visit One	A natural number greater than 1 and less than 3 and the quantity that it denotes: the sum of one and one._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks._Happening at a time subsequent to a reference time; later in time or order._The act of going to see some person or place or thing; it can cover a short or long period but refers to a non-permanent arrangement._The smallest natural number and quantity it denotes: a single entity, unit, or object.
2 Months After Visit 2	Two Month Post Visit Two	A natural number greater than 1 and less than 3 and the quantity that it denotes: the sum of one and one._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks._Happening at a time subsequent to a reference time; later in time or order._The act of going to see some person or place or thing; it can cover a short or long period but refers to a non-permanent arrangement._A natural number greater than 1 and less than 3 and the quantity that it denotes: the sum of one and one.
2 days prior to registration	2 days prior to registration	2 days prior to registration
2 h (during infusion)	2 h (during infusion)	2 h (during infusion)
2 hours after infusion start	2 hours after infusion start	2 hours after infusion start
2 hours post dose	2 hours post dose	2 hours post dose
2 months post-LITT	2 months post-LITT	4 months post Laser Interstitial Thermal Therapy
2 weeks	Week 2	A natural number greater than 1 and less than 3 and the quantity that it denotes: the sum of one and one.: Any period of seven consecutive days.
2 year	Two years	A natural number greater than 1 and less than 3 and the quantity that it denotes: the sum of one and one._A period of time that it takes for Earth to make a complete revolution around the sun, approximately 365 days; a specific one year period.
2 years from start of treatment	2 years from start of treatment	2 years from start of treatment
2 years post RT Completion	2 years post RT Completion	2 years post RT Completion
2.5 h (during infusion)	2.5 h (during infusion)	2.5 h (during infusion)
20 hours post dose	20 hours post dose	20 hours post dose
20 months	Twenty Month	A natural number greater than nineteen and less than twenty-one and the quantity that it denotes._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
20 weeks	20 weeks	20 weeks
20-24 hr	20-24 hr	20-24 hr
200 weeks	200 weeks	200 weeks
202 weeks	202 weeks	202 weeks
21 months	21 Months Post Registration	21 Months Post Registration
21 months	21 months post therapeutic procedure	21 months post therapeutic procedure
21-24 hr	21-24 hr	21-24 hr
212 weeks	212 weeks	212 weeks
214 weeks	214 weeks	214 weeks
22 hours post dose	22 hours post dose	22 hours post dose
22 months	Twenty Two Month	A natural number greater than twenty-one and less than twenty-three and the quantity that it denotes._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
224 weeks	224 weeks	224 weeks
226 weeks	226 weeks	226 weeks
236 weeks	236 weeks	236 weeks
238 weeks	238 weeks	238 weeks
24	24	A natural number greater than twenty-three and less than twenty-five and the quantity that it denotes.
24 hours post dose	24 hours post dose	24 hours post dose
24 hours post start of T infusion	24 hours post start of T infusion	24 hours post start of T infusion
24 hours post start of Triapine (3AP) infusion (IV)	24 hours post start of Triapine (3AP) infusion (IV)	24 hours post start of Triapine (3AP) infusion (IV)
24 months	24 MONTHS	A natural number greater than twenty-three and less than twenty-five and the quantity that it denotes._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
24 months after randomization	24 months after randomization	24 months after randomization
24 months after surgery	24 months after surgery	24 months after surgery
24 months following randomization	24 months following randomization	24 months following randomization
24 months from end of treatment	24 months from end of treatment	24 months from end of treatment
24 months from start of ARM 1 or ARM 2 therapy	24 months from start of ARM 1 or ARM 2 therapy	24 months from start of ARM 1 or ARM 2 therapy
24 months post randomization	24 Months Post Randomization	A period of time of twenty-four months._Happening at a time subsequent to a reference time; later in time or order._The allocation of individuals to groups by chance, especially in order to control the variables in an experiment.
24 months post-LITT	24 months post-LITT	24 months post Laser Interstitial Thermal Therapy
24 months post-treatment initiation (+/- 2 weeks)	24 months post-treatment initiation (+/- 2 weeks)	24 months post-treatment initiation (+/- 2 weeks)
24 weeks	24 weeks	A natural number greater than twenty-three and less than twenty-five and the quantity that it denotes._Any period of seven consecutive days.
24 weeks after your first study visit	24 weeks after your first study visit	24 weeks after your first study visit
24-Month Follow-up	24-Month Follow-up	24-Month Follow-up
24-month visit	Twenty Four Month Visit	A natural number greater than twenty-three and less than twenty-five and the quantity that it denotes.: One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.: The act of going to see some person or place or thing; it can cover a short or long period but refers to a non-permanent arrangement.
240 minutes (4 hours)	Four Hour	A natural number greater than 3 and less than 5 and the quantity that it denotes: the sum of three and one.: A unit measure of time equal to 3,600 seconds or 60 minutes. It is approximately 1/24 of a median day.
25 months	Twenty Five Month	A natural number greater than twenty-four and less than twenty-six and the quantity that it denotes._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
25 weeks post randomization	25 weeks post randomization	25 weeks post randomization
250 weeks	250 weeks	250 weeks
26 Week	26 Week	A natural number greater than twenty-five and less than twenty-seven and the quantity that it denotes._Any period of seven consecutive days.
262 weeks	262 weeks	262 weeks
27 months	27 months post therapeutic procedure	27 months post therapeutic procedure
274 weeks	274 weeks	274 weeks
28 months	Twenty Eight Month	A natural number greater than twenty-seven and less than twenty-nine and the quantity that it denotes._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
286 weeks	286 weeks	286 weeks
298 weeks	298 weeks	298 weeks
2nd Follow Up	Second Follow-up	Coming next after the first in position in space or time or degree or magnitude.: The process by which information about the health status of an individual is obtained after a study has officially closed; an activity that continues something that has already begun or that repeats something that has already been done.
3	3	A natural number greater than 2 and less than 4 and the quantity that it denotes: the sum of two and one.
3 Months After Starting Study Agent	Three Month Post Protocol Agent Begin	A natural number greater than 2 and less than 4 and the quantity that it denotes: the sum of two and one._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks._Happening at a time subsequent to a reference time; later in time or order._A medical product, practice, or application that is tested in a clinical trial._Have a beginning, in a temporal, spatial, or evaluative sense; the point in space or time where something begins.
3 Months After Visit 1	Three Month Post Visit One	A natural number greater than 2 and less than 4 and the quantity that it denotes: the sum of two and one._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks._Happening at a time subsequent to a reference time; later in time or order._The act of going to see some person or place or thing; it can cover a short or long period but refers to a non-permanent arrangement._The smallest natural number and quantity it denotes: a single entity, unit, or object.
3 Months After Visit 2	Three Month Post Visit Two	A natural number greater than 2 and less than 4 and the quantity that it denotes: the sum of two and one._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks._Happening at a time subsequent to a reference time; later in time or order._The act of going to see some person or place or thing; it can cover a short or long period but refers to a non-permanent arrangement._A natural number greater than 1 and less than 3 and the quantity that it denotes: the sum of one and one.
3 Months Post Randomization	3 Months Post Randomization	3 Months Post Randomization
3 h (during infusion)	3 h (during infusion)	3 h (during infusion)
3 hours post start of Triapine (3AP) infusion (IV)	3 hours post start of Triapine (3AP) infusion (IV)	3 hours post start of Triapine (3AP) infusion (IV)
3 hr post dose	3 hr post dose	3 hr post dose
3 months	3 MONTHS	3 MONTHS
3 months after RT	3 months after RT	3 months after RT
3 months after cross-over	3 months after cross-over	3 months after cross-over
3 months after randomization	3 months after randomization	3 months after randomization
3 months after surgery	Three Month Post Surgical Procedure	A natural number greater than 2 and less than 4 and the quantity that it denotes: the sum of two and one.: One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.: Happening at a time subsequent to a reference time; later in time or order.: A diagnostic or treatment procedure performed by manual and/or instrumental means, often involving an incision and the removal or replacement of a diseased organ or tissue; of or relating to or involving or used in surgery or requiring or amenable to treatment by surgery.
3 months from end of treatment	3 months from end of treatment	3 months from end of treatment
3 months from start of treatment	3 months from start of treatment	3 months from start of treatment
3 months post chemoradiation	Three Month Post Chemoradiotherapy	A natural number greater than 2 and less than 4 and the quantity that it denotes: the sum of two and one.: One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.: Happening at a time subsequent to a reference time; later in time or order.: Treatment that combines chemotherapy with radiation therapy.
3 weeks after the start of RT	3 weeks after the start of RT	3 weeks after the start of RT
3 year	3 year	3 year
3 years	3 Years	3 Years
3 years post RT Completion	3 years post RT Completion	3 years post RT Completion
3-4 weeks after last chemotherapy cycle	3-4 weeks after last chemotherapy cycle	3-4 weeks after last chemotherapy cycle
3-5 weeks after surgery	3-5 weeks after surgery	3-5 weeks after surgery
3-Month Follow-up	3-Month Follow-up	3-Month Follow-up
3.5 h (during infusion)	3.5 h (during infusion)	3.5 h (during infusion)
30 minutes	Thirty Minute	A natural number greater than twenty-nine and less than thirty-one and the quantity that it denotes.: A unit measure of time equal to 60 seconds.
30 minutes post dose	30 minutes post dose	30 minutes post dose
30 months	30 MONTHS	30 MONTHS
30 months after surgery	30 months after surgery	30 months after surgery
30 months from start of treatment	30 months from start of treatment	30 months from start of treatment
30 months post-treatment initiation (+ 6 months)	30 months post-treatment initiation (+ 6 months)	30 months post-treatment initiation (+ 6 months)
30 months post-treatment initiation (+/- 6 months)	30 months post-treatment initiation (+/- 6 months)	30 months post-treatment initiation (+/- 6 months)
30-Month Follow-up	30-Month Follow-up	30-Month Follow-up
31 months	Thirty One Month	A natural number greater than thirty and less than thirty-two and the quantity that it denotes._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
310 weeks	310 weeks	310 weeks
32 months	Thirty Two Month	The natural number greater than thirty-one and less than thirty-three and the quantity that it denotes._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
32 weeks	32 weeks	32 weeks
33 months	33 months post therapeutic procedure	33 months post therapeutic procedure
34 months	Thirty Four Month	The natural number greater than thirty-three and less than thirty-five and the quantity that it denotes._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
36	36	The natural number greater than thirty-five and less than thirty-seven and the quantity that it denotes.
36 months	36 MONTHS	36 MONTHS
36 months after surgery	36 months after surgery	36 months after surgery
36 months following randomization	36 months following randomization	36 months following randomization
36 months post randomization	36 Months Post Randomization	36 Months Post Randomization
36 weeks	Thirty Six Week	The natural number greater than thirty-five and less than thirty-seven and the quantity that it denotes._Any period of seven consecutive days.
36-Month Follow-up	36-Month Follow-up	36-Month Follow-up
36-month visit (Clinical Follow-Up)	36-month visit (Clinical Follow-Up)	36-month visit (Clinical Follow-Up)
37 months	Thirty Seven Month	The natural number greater than thirty-six and less than thirty-eight and the quantity that it denotes._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
39 Week	39 Week	39 Week
39 months	39 months post therapeutic procedure	39 months post therapeutic procedure
4 Months After Starting Study Agent	Four Month Post Protocol Agent Begin	A natural number greater than 3 and less than 5 and the quantity that it denotes: the sum of three and one._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks._Happening at a time subsequent to a reference time; later in time or order._A medical product, practice, or application that is tested in a clinical trial._Have a beginning, in a temporal, spatial, or evaluative sense; the point in space or time where something begins.
4 Months After Visit 1	Four Month Post Visit One	A natural number greater than 3 and less than 5 and the quantity that it denotes: the sum of three and one._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks._Happening at a time subsequent to a reference time; later in time or order._The act of going to see some person or place or thing; it can cover a short or long period but refers to a non-permanent arrangement._The smallest natural number and quantity it denotes: a single entity, unit, or object.
4 Months After Visit 2	Four Month Post Visit Two	A natural number greater than 3 and less than 5 and the quantity that it denotes: the sum of three and one._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks._Happening at a time subsequent to a reference time; later in time or order._The act of going to see some person or place or thing; it can cover a short or long period but refers to a non-permanent arrangement._A natural number greater than 1 and less than 3 and the quantity that it denotes: the sum of one and one.
4 h (during infusion)	4 h (during infusion)	4 h (during infusion)
4 hours post dose	4 hours post dose	4 hours post dose
4 months	Four Month	A natural number greater than 3 and less than 5 and the quantity that it denotes: the sum of three and one.: One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
4 months post-LITT	4 months post-LITT	4 months post Laser Interstitial Thermal Therapy
4 weeks	Four Week	A natural number greater than 3 and less than 5 and the quantity that it denotes: the sum of three and one.: Any period of seven consecutive days.
4 weeks post-surgery	4 weeks post-surgery	4 weeks post-surgery
4 years after surgery	Four Year Post Surgical Procedure	A natural number greater than 3 and less than 5 and the quantity that it denotes: the sum of three and one.: A period of time that it takes for Earth to make a complete revolution around the sun, approximately 365 days; a specific one year period.: Happening at a time subsequent to a reference time; later in time or order.: A diagnostic or treatment procedure performed by manual and/or instrumental means, often involving an incision and the removal or replacement of a diseased organ or tissue; of or relating to or involving or used in surgery or requiring or amenable to treatment by surgery.
4-5 Years	4-5 years	4-5 years
4-6 weeks after surgery	4-6 weeks after surgery	4-6 weeks after surgery
4-6 weeks post RT	4-6 weeks post RT	4-6 weeks post RT
4-6 weeks post chemoradiation	4-6 weeks post chemoradiation	4-6 weeks post chemoradiation
40 months	Forty Month	A natural number greater than thirty-nine and less than forty-one and the quantity that it denotes._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
42 months	Forty Two Month	The natural number greater than forrty-one and less than forty-three and the quantity that it denotes._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
43 months	Forty Three Month	A natural number greater than forty-two and less than forty-four and the quantity that it denotes._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
44 weeks	44 weeks	44 weeks
45 months	45 months post therapeutic procedure	45 months post therapeutic procedure
46 months	Forty Six Month	A natural number greater than forty five and less than forty seven and the quantity that it denotes._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
48 months	48 Months	A number with no fractional part, including the negative and positive numbers as well as zero.::48: One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
48 months following randomization	48 months following randomization	48 months following randomization
48 months post randomization	48 Months Post Randomization	48 Months Post Randomization
48 weeks	Forty Eight Week	The natural number greater than forty-seven and less than forty-nine and the quantity that it denotes._Any period of seven consecutive days.
48 weeks (+/- 4 weeks) following initiation of protocol therapy	48 weeks (+/- 4 weeks) following initiation of protocol therapy	48 weeks (+/- 4 weeks) following initiation of protocol therapy
48-month visit (Clinical Follow-up)	48-month visit (Clinical Follow-up)	48-month visit (Clinical Follow-up)
49 months	Forty Nine Month	A natural number greater than forty-eight and less than fifty and the quantity that it denotes._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
49 weeks post randomization	49 weeks post randomization	49 weeks post randomization
5 Months After Starting Study Agent	Five Month Post Protocol Agent Begin	A natural number greater than 4 and less than 6 and the quantity that it denotes: the sum of four and one._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks._Happening at a time subsequent to a reference time; later in time or order._A medical product, practice, or application that is tested in a clinical trial._Have a beginning, in a temporal, spatial, or evaluative sense; the point in space or time where something begins.
5 Months After Visit 1	Five Month Post Visit One	A natural number greater than 4 and less than 6 and the quantity that it denotes: the sum of four and one._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks._Happening at a time subsequent to a reference time; later in time or order._The act of going to see some person or place or thing; it can cover a short or long period but refers to a non-permanent arrangement._The smallest natural number and quantity it denotes: a single entity, unit, or object.
5 Months After Visit 2	Five Month Post Visit Two	A natural number greater than 4 and less than 6 and the quantity that it denotes: the sum of four and one._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks._Happening at a time subsequent to a reference time; later in time or order._The act of going to see some person or place or thing; it can cover a short or long period but refers to a non-permanent arrangement._A natural number greater than 1 and less than 3 and the quantity that it denotes: the sum of one and one.
5 hours post start of Triapine (3AP) infusion (IV)	5 hours post start of Triapine (3AP) infusion (IV)	5 hours post start of Triapine (3AP) infusion (IV)
5 hr post dose	5 hr post dose	5 hr post dose
5 minutes	Five Minute	A natural number greater than 4 and less than 6 and the quantity that it denotes: the sum of four and one.: A unit measure of time equal to 60 seconds.
5 weeks	Week 5	A natural number greater than 4 and less than 6 and the quantity that it denotes: the sum of four and one.: Any period of seven consecutive days.
5 weeks after the start of RT	5 weeks after the start of RT	5 weeks after the start of RT
5 years	5 years	A number with no fractional part, including the negative and positive numbers as well as zero.::5: A period of time that it takes for Earth to make a complete revolution around the sun, approximately 365 days; a specific one year period.
5 years after surgery	Five Year Post Surgical Procedure	A natural number greater than 4 and less than 6 and the quantity that it denotes: the sum of four and one.: A period of time that it takes for Earth to make a complete revolution around the sun, approximately 365 days; a specific one year period.: Happening at a time subsequent to a reference time; later in time or order.: A diagnostic or treatment procedure performed by manual and/or instrumental means, often involving an incision and the removal or replacement of a diseased organ or tissue; of or relating to or involving or used in surgery or requiring or amenable to treatment by surgery.
51 months	51 months post therapeutic procedure	51 months post therapeutic procedure
52 Week	52 Week	52 Week
54 months	Fifty Four Month	The natural number greater than fifty-three and less than fifty-five and the quantity that it denotes._One of the 12 divisions of a year as determined by a calendar. It corresponds to the unit of time of approximately to one cycle of the moon's phases, about 30 days or 4 weeks.
55 weeks following randomization	55 weeks following randomization	55 weeks following randomization
56 weeks	56 weeks	56 weeks
57 months	57 months post therapeutic procedure	57 months post therapeutic procedure
6	6	A natural number greater than 5 and less than 7 and the quantity that it denotes: the sum of five and one.
